TIMESTAMP;SW_BELOW;SW_IN
201408081430;480;804
201408081445;447;775
201408081500;420;746
201408081515;235;516
201408081530;238;472
201408081545;352;600
201408081600;381;657
201408081615;292;532
201408081630;266;533
201408081645;172;330
201408081700;178;339
201408081715;186;382
201408081730;165;333
201408081745;129;262
201408081800;68;191
201408081815;38;135
201408081830;11;85
201408081845;3;45
201408081900;1;16
201408081915;0;0
201408081930;0;0
201408081945;0;0
201408082000;0;0
201408082015;0;0
201408082030;0;0
201408082045;0;0
201408082100;0;0
201408082115;0;0
201408082130;0;0
201408082145;0;0
201408082200;0;0
201408082215;0;0
201408082230;0;0
201408082245;0;0
201408082300;0;0
201408082315;0;0
201408082330;0;0
201408082345;0;0
201408090000;0;0
201408090015;0;0
201408090030;0;0
201408090045;0;0
201408090100;0;0
201408090115;0;0
201408090130;0;0
201408090145;0;0
201408090200;0;0
201408090215;0;0
201408090230;0;0
201408090245;0;0
201408090300;0;0
201408090315;0;0
201408090330;0;0
201408090345;0;0
201408090400;0;0
201408090415;0;0
201408090430;0;0
201408090445;0;0
201408090500;0;0
201408090515;0;0
201408090530;3;7
201408090545;6;28
201408090600;16;59
201408090615;32;94
201408090630;44;133
201408090645;92;173
201408090700;105;225
201408090715;158;282
201408090730;166;332
201408090745;244;380
201408090800;283;425
201408090815;301;476
201408090830;263;529
201408090845;298;581
201408090900;363;627
201408090915;350;668
201408090930;468;705
201408090945;468;741
201408091000;415;769
201408091015;394;799
201408091030;456;825
201408091045;512;852
201408091100;443;876
201408091115;429;895
201408091130;424;910
201408091145;428;921
201408091200;476;928
201408091215;468;931
201408091230;437;927
201408091245;576;923
201408091300;577;919
201408091315;569;908
201408091330;556;892
201408091345;499;878
201408091400;433;861
201408091415;454;835
201408091430;494;807
201408091445;462;783
201408091500;429;753
201408091515;328;722
201408091530;349;680
201408091545;379;636
201408091600;353;592
201408091615;319;548
201408091630;244;496
201408091645;249;442
201408091700;214;387
201408091715;160;334
201408091730;132;279
201408091745;102;227
201408091800;59;174
201408091815;35;124
201408091830;13;79
201408091845;4;42
201408091900;1;15
201408091915;0;0
201408091930;0;0
201408091945;0;0
201408092000;0;0
201408092015;0;0
201408092030;0;0
201408092045;0;0
201408092100;0;0
201408092115;0;0
201408092130;0;0
201408092145;0;0
201408092200;0;0
201408092215;0;0
201408092230;0;0
201408092245;0;0
201408092300;0;0
201408092315;0;0
201408092330;0;0
201408092345;0;0
201408100000;0;0
201408100015;0;0
201408100030;0;0
201408100045;0;0
201408100100;0;0
201408100115;0;0
201408100130;0;0
201408100145;0;0
201408100200;0;0
201408100215;0;0
201408100230;0;0
201408100245;0;0
201408100300;0;0
201408100315;0;0
201408100330;0;0
201408100345;0;0
201408100400;0;0
201408100415;0;0
201408100430;0;0
201408100445;0;0
201408100500;0;0
201408100515;0;0
201408100530;2;5
201408100545;5;21
201408100600;14;49
201408100615;26;86
201408100630;42;127
201408100645;87;171
201408100700;110;226
201408100715;145;268
201408100730;155;313
201408100745;238;378
201408100800;294;429
201408100815;313;477
201408100830;250;526
201408100845;288;572
201408100900;352;617
201408100915;353;658
201408100930;442;697
201408100945;458;733
201408101000;403;766
201408101015;394;797
201408101030;469;826
201408101045;489;843
201408101100;434;860
201408101115;422;890
201409241200;486;789
201409241215;488;792
201409241229;525;788
201409241244;486;781
201409241259;523;774
201409241314;496;760
201409241329;461;740
201409241344;466;720
201409241359;442;698
201409241414;456;672
201409241429;398;638
201409241444;327;602
201409241459;329;565
201409241514;306;522
201409241529;253;479
201409241544;264;427
201409241559;181;375
201409241614;165;289
201409241629;86;230
201409241644;96;234
201409241659;69;180
201409241714;43;127
201409241729;17;76
201409241744;8;35
201409241759;2;4
201409241814;0;0
201409241829;0;0
201409241844;0;0
201409241859;0;0
201409241914;0;0
201409241929;0;0
201409241944;0;0
201409241959;0;0
201409242014;0;0
201409242029;0;0
201409242044;0;0
201409242059;0;0
201409242114;0;0
201409242129;0;0
201409242144;0;0
201409242159;0;0
201409242214;0;0
201409242229;0;0
201409242244;0;0
201409242259;0;0
201409242314;0;0
201409242329;0;0
201409242344;0;0
201409242359;0;0
201409250014;0;0
201409250029;0;0
201409250044;0;0
201409250059;0;0
201409250114;0;0
201409250129;0;0
201409250144;0;0
201409250159;0;0
201409250214;0;0
201409250229;0;0
201409250244;0;0
201409250259;0;0
201409250314;0;0
201409250329;0;0
201409250344;0;0
201409250359;0;0
201409250414;0;0
201409250429;0;0
201409250444;0;0
201409250459;0;0
201409250514;0;0
201409250529;0;0
201409250544;0;0
201409250559;0;0
201409250614;2;2
201409250629;2;6
201409250644;5;14
201409250659;10;23
201409250714;24;42
201409250729;40;67
201409250744;22;39
201409250759;10;24
201409250814;13;26
201409250829;27;45
201409250844;44;74
201409250859;38;64
201409250914;46;79
201409250929;41;71
201409250944;49;84
201409250959;66;112
201409251014;49;89
201409251029;83;139
201409251044;79;135
201409251059;102;176
201409251114;70;125
201409251129;158;243
201409251144;201;306
201409251159;258;408
201409251214;239;371
201409251229;280;418
201409251244;378;599
201409251300;388;623
201409251315;478;762
201409251330;477;772
201409251345;306;592
201409251400;414;688
201409251415;451;695
201409251430;390;661
201409251445;340;617
201409251500;299;572
201409251515;317;532
201409251530;250;484
201409251545;240;435
201409251600;190;382
201409251615;188;329
201409251630;96;275
201409251645;93;221
201409251700;53;172
201409251715;43;122
201409251730;16;74
201409251745;5;31
201409251800;1;4
201409251815;0;0
201409251830;0;0
201409251845;0;0
201409251900;0;0
201409251915;0;0
201409251930;0;0
201409251945;0;0
201409252000;0;0
201409252015;0;0
201409252030;0;0
201409252045;0;0
201409252100;0;0
201409252115;0;0
201409252130;0;0
201409252145;0;0
201409252200;0;0
201409252215;0;0
201409252230;0;0
201409252245;0;0
201409252300;0;0
201409252315;0;0
201409252330;0;0
201409252345;0;0
201409260000;0;0
201409260015;0;0
201409260030;0;0
201409260045;0;0
201409260100;0;0
201409260115;0;0
201409260130;0;0
201409260145;0;0
201409260200;0;0
201409260215;0;0
201409260230;0;0
201409260245;0;0
201409260300;0;0
201409260315;0;0
201409260330;0;0
201409260345;0;0
201409260400;0;0
201409260415;0;0
201409260430;0;0
201409260445;0;0
201409260500;0;0
201409260515;0;0
201409260530;0;0
201409260545;0;0
201409260600;2;1
201409260615;4;10
201409260630;10;25
201409260645;26;42
201409260700;37;56
201409260715;46;76
201409260730;59;103
201409260745;53;100
201409260800;47;87
201409260815;65;107
201409260830;108;178
201409260845;107;176
201409260900;123;201
201409260915;101;160
201409260930;122;201
201409260945;130;209
201409261000;152;242
201409261015;163;253
201409261030;190;301
201409261045;306;479
201409261100;373;574
201409261115;527;778
201409261130;508;761
201409261145;539;804
201409261200;518;821
201409261215;405;629
201409261230;367;586
201409261245;323;521
201409261300;283;449
201409261315;370;610
201409261330;516;817
201409261345;475;780
201409261400;427;623
201409261415;460;711
201409261430;423;683
201409261445;371;658
201409261500;283;573
201409261515;302;521
201409261530;223;481
201409261545;237;445
201409261600;205;404
201409261615;228;391
201409261630;144;346
201409261645;101;218
201409261700;24;51
201409261715;10;35
201409261730;6;27
201409261745;1;7
201409261800;0;0
201409261815;0;0
201409261829;0;0
201409261844;0;0
201409261859;0;0
201409261914;0;0
201409261929;0;0
201409261944;0;0
201409261959;0;0
201409262014;0;0
201409262029;0;0
201409262044;0;0
201409262059;0;0
201409262114;0;0
201409262129;0;0
201409262144;0;0
201409262159;0;0
201409262214;0;0
201409262229;0;0
201409262244;0;0
201409262259;0;0
201409262314;0;0
201409262329;0;0
201409262344;0;0
201409262359;0;0
201409270014;0;0
201409270029;0;0
201409270044;0;0
201409270059;0;0
201409270114;0;0
201409270129;0;0
201409270144;0;0
201409270159;0;0
201409270214;0;0
201409270229;0;0
201409270244;0;0
201409270259;0;0
201409270314;0;0
201409270329;0;0
201409270344;0;0
201409270359;0;0
201409270414;0;0
201409270429;0;0
201409270444;0;0
201409270459;0;0
201409270514;0;0
201409270529;0;0
201409270544;0;0
201409270559;2;1
201409270614;2;7
201409270629;5;15
201409270644;13;34
201409270659;29;46
201409270714;43;73
